codice_comune,anno,totale_incidenti
1015,2020,2
1015,2021,2
1015,2022,2
1015,2023,2
1015,2024,2
1016,2001,1
1016,2002,2
1016,2003,3
1016,2004,2
1016,2005,1
1016,2006,0
1016,2007,0
1016,2008,0
1016,2009,1
1016,2010,3
1016,2011,3
1016,2012,4
1016,2013,4
1016,2014,0
1016,2015,2
1016,2016,8
1016,2017,2
1016,2018,6
1016,2019,3
1016,2020,4
1016,2021,2
1016,2022,3
1016,2023,4
1016,2024,7
1017,2001,12
1017,2002,2
1017,2003,3
1017,2004,3
1017,2005,2
1017,2006,3
1017,2007,4
1017,2008,1
1017,2009,1
1017,2010,2
1017,2011,3
1017,2012,2
1017,2013,2
1017,2014,1
1017,2015,3
1017,2016,5
1017,2017,1
1017,2018,1
1017,2019,1
1017,2020,0
1017,2021,3
1017,2022,4
1017,2023,1
1017,2024,1
1018,2001,3
1018,2002,3
1018,2003,4
1018,2004,4
1018,2005,3
1018,2006,4
1018,2007,4
1018,2008,7
1018,2009,7
1018,2010,1
1018,2011,2
1018,2012,3
1018,2013,3
1018,2014,3
1018,2015,3
1018,2016,2
1018,2017,6
1018,2018,4
1018,2019,2
1018,2020,2
1018,2021,2
1018,2022,3
1018,2023,2
1018,2024,3
1019,2001,0
1019,2002,0
1019,2003,0
1019,2004,0
1019,2005,0
1019,2006,0
1019,2007,1
1019,2008,0
1019,2009,0
1019,2010,1
1019,2011,0
1019,2012,0
1019,2013,0
1019,2014,0
1019,2015,0
1019,2016,0
1019,2017,0
1019,2018,0
1019,2019,0
1019,2020,0
1019,2021,0
1019,2022,1
1019,2023,0
1020,2001,3
1020,2002,8
1020,2003,7
1020,2004,11
1020,2005,3
1020,2006,3
1020,2007,9
1020,2008,1
1020,2009,2
1020,2010,5
1020,2011,5
1020,2012,3
1020,2013,5
1020,2014,8
1020,2015,6
1020,2016,2
1020,2017,3
1020,2018,4
1020,2019,4
1020,2020,0
1020,2021,3
1020,2022,3
1020,2023,1
1020,2024,1
1021,2001,0
1021,2002,2
1021,2003,1
1021,2004,0
1021,2005,0
1021,2006,0
1021,2007,1
1021,2008,0
1021,2009,2
1021,2010,1
1021,2011,0
1021,2012,0
1021,2013,1
1021,2014,0
1021,2015,1
1021,2016,0
1021,2017,0
1021,2018,1
1021,2019,0
1021,2020,0
1021,2021,1
1021,2022,2
1021,2023,1
1022,2001,2
1022,2002,4
1022,2003,1
1022,2004,1
1022,2005,14
1022,2006,3
1022,2007,1
1022,2008,3
1022,2009,2
1022,2010,5
1022,2011,4
1022,2012,3
1022,2013,3
1022,2014,2
1022,2015,0
1022,2016,1
1022,2017,1
1022,2018,1
1022,2019,4
1022,2020,3
1022,2021,4
1022,2022,2
1022,2023,6
1022,2024,7
1023,2001,0
1023,2002,0
1023,2003,0
1023,2004,1
1023,2005,0
1023,2006,0
1023,2007,1
1023,2008,1
1023,2009,0
1023,2010,1
1023,2011,0
1023,2012,0
1023,2013,0
1023,2014,0
1023,2015,0
1023,2016,2
1023,2017,3
1023,2018,4
1023,2019,4
1023,2020,0
1023,2021,0
1023,2022,0
1023,2023,1
1024,2001,74
1024,2002,76
1024,2003,67
1024,2004,72
1024,2005,59
1024,2006,66
1024,2007,70
1024,2008,49
1024,2009,57
1024,2010,63
1024,2011,67
1024,2012,49
1024,2013,44
1024,2014,52
1024,2015,46
1024,2016,43
1024,2017,41
1024,2018,44
1024,2019,43
1024,2020,22
1024,2021,29
1024,2022,31
1024,2023,21
1024,2024,33
1025,2001,6
1025,2002,1
1025,2003,1
1025,2004,3
1025,2005,1
1025,2006,0
1025,2007,3
1025,2008,1
1025,2009,4
1025,2010,2
1025,2011,3
1025,2012,2
1025,2013,3
1025,2014,4
1025,2015,1
1025,2016,2
1025,2017,4
1025,2018,2
1025,2019,2
1025,2020,0
1025,2021,4
1025,2022,2
1025,2023,2
1025,2024,1
1026,2001,0
1026,2002,0
1026,2003,0
1026,2004,0
1026,2005,0
1026,2006,1
1026,2007,0
1026,2008,0
1026,2009,0
1026,2010,0
1026,2011,1
1026,2012,0
1026,2013,0
1026,2014,0
1026,2015,1
1026,2016,0
1026,2017,0
1026,2018,0
1026,2019,0
1026,2020,0
1026,2021,0
1026,2022,0
1026,2023,0
1027,2001,7
1027,2002,9
1027,2003,7
1027,2004,10
1027,2005,11
1027,2006,5
1027,2007,7
1027,2008,3
1027,2009,7
1027,2010,4
1027,2011,4
1027,2012,4
1027,2013,3
1027,2014,6
1027,2015,3
1027,2016,7
1027,2017,1
1027,2018,6
1027,2019,3
1027,2020,5
1027,2021,8
1027,2022,6
1027,2023,3
1027,2024,4
1028,2001,11
1028,2002,28
1028,2003,18
1028,2004,19
1028,2005,9
1028,2006,35
1028,2007,30
1028,2008,19
1028,2009,31
1028,2010,20
1028,2011,29
1028,2012,13
1028,2013,22
1028,2014,24
1028,2015,16
1028,2016,29
1028,2017,19
1028,2018,13
1028,2019,11
1028,2020,11
1028,2021,22
1028,2022,17
1028,2023,11
1028,2024,14
1029,2001,0
1029,2002,0
1029,2003,0
1029,2004,0
1029,2005,0
1029,2006,1
1029,2007,1
1029,2008,2
1029,2009,0
1029,2010,1
1029,2011,0
1029,2012,0
1029,2013,0
1029,2014,0
1029,2015,1
1029,2016,0
1029,2017,0
1029,2018,0
1029,2019,0
1029,2020,0
1029,2021,0
1029,2022,0
1029,2023,0
1030,2001,10
1030,2002,7
1030,2003,16
1030,2004,15
1030,2005,4
1030,2006,8
1030,2007,7
1030,2008,7
1030,2009,9
1030,2010,10
1030,2011,9
1030,2012,6
1030,2013,5
1030,2014,4
1030,2015,12
1030,2016,6
1030,2017,6
1030,2018,5
1030,2019,5
1030,2020,6
1030,2021,4
1030,2022,3
1030,2023,7
1030,2024,6
1031,2001,0
1031,2002,0
1031,2003,2
1031,2004,0
1031,2005,0
1031,2006,0
1031,2007,0
1031,2008,0
1031,2009,0
1031,2010,1
1031,2011,2
1031,2012,0
1031,2013,1
1031,2014,0
1031,2015,1
1031,2016,0
1031,2017,0
1031,2018,0
1031,2019,0
1031,2020,0
1031,2021,0
1031,2022,0
1031,2023,0
1031,2024,1
1032,2001,7
1032,2002,9
1032,2003,6
1032,2004,7
1032,2005,8
1032,2006,8
1032,2007,8
1032,2008,5
1032,2009,2
1032,2010,3
1032,2011,4
1032,2012,3
1032,2013,5
1032,2014,1
1032,2015,3
1032,2016,1
1032,2017,4
1032,2018,4
1032,2019,6
1032,2020,3
1032,2021,6
1032,2022,6
1032,2023,2
1032,2024,3
1033,2001,1
1033,2002,1
1033,2003,2
1033,2004,4
1033,2005,7
1033,2006,2
1033,2007,6
1033,2008,0
1033,2009,1
1033,2010,4
1033,2011,3
1033,2012,3
1033,2013,0
1033,2014,0
1033,2015,5
1033,2016,2
1033,2017,0
1033,2018,1
1033,2019,2
1033,2020,2
1033,2021,3
1033,2022,3
1033,2023,1
1033,2024,3
1034,2001,5
1034,2002,18
1034,2003,13
1034,2004,12
1034,2005,9
1034,2006,20
1034,2007,16
1034,2008,11
1034,2009,9
1034,2010,14
1034,2011,14
1034,2012,12
1034,2013,6
1034,2014,14
1034,2015,11
1034,2016,12
1034,2017,10
1034,2018,10
1034,2019,10
1034,2020,3
1034,2021,15
1034,2022,9
1034,2023,7
1034,2024,5
1035,2001,7
1035,2002,9
1035,2003,11
1035,2004,9
1035,2005,7
1035,2006,3
1035,2007,12
1035,2008,7
1035,2009,4
1035,2010,4
1035,2011,7
1035,2012,5
1035,2013,2
1035,2014,3
1035,2015,2
1035,2016,4
1035,2017,2
1035,2018,4
1035,2019,4
1035,2020,3
1035,2021,7
1035,2022,6
1035,2023,8
1035,2024,6
1036,2001,0
1036,2002,0
1036,2003,1
1036,2004,0
1036,2005,0
1036,2006,1
1036,2007,0
1036,2008,0
1036,2009,0
1036,2010,0
1036,2011,1
1036,2012,0
1036,2013,0
1036,2014,0
1036,2015,1
